"Airport Report",,,,,,,,,,,
,,,,,,,,,,,
"Code","Name","City","State","State Name"," Latitude "," Longitude ","Country","Country Name","Global Region","WAC","Notes"
"AFI","Amalfi","Amalfi","  "," ",6.92,-75.07,"CO","Colombia","South America",327,
"AFK","Kondavattavan Tank Airport","Ampara","  "," ",7.29,81.64,"LK","Sri Lanka","Asia",711,
"AFL","Alta Floresta ","Alta Floresta","MT","Mato Grosso",-9.85,-56.10,"BR","Brazil","South America",316,
"AFN","Jaffrey Municipal Airport","Jaffrey","NH","New Hampshire",42.83,-72.07,"US","United States","North America",14,
"AFO","Afton ","Afton","WY","Wyoming",42.72,-110.93,"US","United States","North America",88,
"AFR","Afore Airport","Afore","  "," ",-9.13,148.38,"PG","Papua New Guinea","Australasia",804,
"AFS","Zarafshan Airport ","Zarafshan","  "," ",41.61,64.23,"UZ","Uzbekistan","Asia",788,
"AFT","Afutara Aerodrome ","Afutara","  "," ",-9.12,160.52,"SB","Solomon Islands","Australasia",874,
"AFW","Fort Worth Alliance, Tx","Fort Worth-Alliance","TX","Texas",32.99,-97.32,"US","United States","North America",74,
"AFY","Afyon Airport","Afyon","  "," ",38.73,30.60,"TR","Turkey","Europe",679,
"AFZ","Sabzevar Airport","Sabzevar","  "," ",36.17,57.60,"IR","Iran","Middle East",632,
"AGA","Agadir - Almassira","Agadir","  "," ",30.38,-9.55,"MA","Morocco","Africa",548,
"AGB","Munich Augsburg ","Augsburg","  "," ",48.43,10.93,"DE","Germany","Europe",429,
"AGC","Allegheny County","Pittsburgh","PA","Pennsylvania",40.35,-79.93,"US","United States","North America",23,
"AGD","Anggi ","Anggi","  "," ",-1.38,133.87,"ID","Indonesia","Asia",732,
"AGE","Wangerooge","Wangerooge","  "," ",53.78,7.92,"DE","Germany","Europe",429,
"AGF","La Garenne","Agen","  "," ",44.17,0.60,"FR","France","Europe",427,
"AGG","Angoram ","Angoram","  "," ",-4.07,144.07,"PG","Papua New Guinea","Australasia",804,
"AGH","Angelholm ","Helsingborg","  "," ",56.29,12.86,"SE","Sweden","Europe",484,
"AGI","Wageningen","Wageningen","  "," ",5.77,-56.68,"SR","Suriname","South America",379,
"AGJ","Aguni ","Aguni","  "," ",26.83,127.17,"JP","Japan","Asia",736,
"AGK","Kagua Airport","Kagua","  "," ",-6.40,143.85,"PG","Papua New Guinea","Australasia",804,
"AGL","Wanigela","Wanigela","  "," ",-9.34,149.16,"PG","Papua New Guinea","Australasia",804,
"AGM","Tasiilaq","Tasiilaq","  "," ",65.67,-37.67,"GL","Greenland","North America",975,
"AGN","Angoon Spb","Angoon","AK","Alaska",57.50,-134.58,"US","United States","North America",1,
"AGO","Magnolia Municipal Airport","Magnolia","AR","Arkansas",33.27,-93.23,"US","United States","North America",71,
"AGP","Malaga","Malaga","  "," ",36.67,-4.50,"ES","Spain","Europe",482,
"AGQ","G.Karaiskakis Airport","Agrinion","  "," ",38.60,21.35,"GR","Greece","Europe",433,
"AGR","Kheria","Agra","  "," ",27.16,77.96,"IN","India","Asia",733,
"AGS","Bush Field","Augusta","GA","Georgia",33.37,-81.96,"US","United States","North America",34,
"AGT","Ciudad Del Este ","Ciudad Del Este","  "," ",-25.52,-54.53,"PY","Paraguay","South America",365,
"AGU","Aguascalientes","Aguascalientes","  "," ",21.85,-102.29,"MX","Mexico","North America",148,
"AGV","Acarigua","Acarigua","  "," ",9.55,-69.23,"VE","Venezuela","South America",388,
"AGW","Agnew Airport","Agnew","QL","Queensland",-12.15,142.15,"AU","Australia","Australasia",802,
"AGX","Agatti Island ","Agatti Island","  "," ",10.83,72.20,"IN","India","Asia",733,
"AGY","Argyle Downs Airport","Argyle Downs","WA","Western Australia",-16.35,128.75,"AU","Australia","Australasia",802,
"AGZ","Aggeneys Airport","Aggeneys","  "," ",-29.05,18.85,"ZA","South Africa","Africa",562,
"AHA","Naha AFB","Okinawa","  "," ",26.35,-127.77,"JP","Japan","Asia",736,
"AHB","Abha","Abha","  "," ",18.30,42.81,"SA","Saudi Arabia","Middle East",670,
"AHC","Amedee Aaf","Herlong","CA","California",40.27,-120.15,"US","United States","North America",91,
"AHD","Ardmore Downtown Airport","Ardmore","OK","Oklahoma",34.17,-97.13,"US","United States","North America",73,
"AHE","Ahe Airport ","Ahe","  "," ",-14.50,-146.00,"PF","French Polynesia","Australasia",823,
"AHF","Arapahoe Municipal Airport","Arapahoe","NE","Nebraska",40.30,-99.90,"US","United States","North America",65,
"AHH","Amery Municipal Airport","Amery","WI","Wisconsin",45.30,-92.35,"US","United States","North America",45,
"AHI","Amahai","Amahai","  "," ",-3.33,128.92,"ID","Indonesia","Asia",732,
"AHL","Aishalton Airport","Aishalton","  "," ",2.48,-59.32,"GY","Guyana","South America",350,
"AHM","Summer Parker Field Airport","Ashland","OR","Oregon",42.19,-122.66,"US","United States","North America",92,
"AHN","Athens Municipal","Athens","GA","Georgia",33.95,-83.33,"US","United States","North America",34,
"AHO","Fertilia","Alghero","  "," ",40.63,8.29,"IT","Italy","Europe",450,
"AHS","Ahuas ","Ahuas","  "," ",15.47,-84.35,"HN","Honduras","Central America",131,
"AHT","Amchitka","Amchitka","AK","Alaska",51.38,179.26,"US","United States","North America",1,
"AHU","Charif Al Idrissi ","Al Hoceima","  "," ",35.18,-3.84,"MA","Morocco","Africa",548,
"AHW","Saihrawl Airport","Saihrawl","  "," ",21.34,56.77,"OM","Oman","Middle East",658,
"AHY","Ambatolahy Airport","Ambatolahy","  "," ",-20.02,45.53,"MG","Madagascar","Africa",541,
